msgID,autID,disID,theID,ts,inCir
394,7,140,4,2016-02-29 00:58:10,False
395,135,90,4,2016-03-02 01:32:03,False
396,204,227,4,2017-07-21 06:22:06,False
397,205,15,4,2016-08-11 08:43:47,False
398,121,228,4,2017-07-21 04:30:43,False
399,206,229,4,2017-07-21 02:59:50,False
400,207,95,4,2018-01-02 05:28:18,False
401,208,93,4,2018-03-16 14:52:25,False
402,209,230,4,2017-07-21 04:23:07,False
403,210,231,4,2018-02-11 18:08:57,False
404,34,73,4,2016-03-26 04:58:35,False
405,211,232,4,2018-02-27 10:42:48,False
406,192,26,4,2016-08-17 21:33:45,False
407,212,109,4,2017-02-26 21:59:03,False
408,161,29,4,2016-11-24 13:46:22,False
409,65,35,4,2016-12-01 16:22:40,False
410,174,90,4,2016-03-08 17:41:28,False
411,203,73,4,2016-03-26 19:40:59,False
412,26,57,4,2017-06-19 16:46:35,False
413,69,170,0,2017-01-13 16:05:46,False
414,105,233,0,2016-09-15 14:43:46,False
415,213,213,0,2016-12-25 16:04:33,False
416,38,234,0,2017-07-21 06:24:59,False
417,126,9,0,2016-07-23 17:35:13,False
418,23,203,0,2016-11-24 10:12:02,False
419,23,126,0,2016-11-24 13:27:52,False
420,15,26,0,2016-08-17 14:44:39,False
421,19,233,0,2016-07-18 19:32:14,False
422,214,235,0,2016-03-28 20:48:00,False
423,215,10,0,2016-12-06 13:05:57,False
424,216,236,0,2017-07-21 07:27:49,False
425,214,235,0,2016-03-28 20:47:42,False
426,165,211,0,2017-02-01 18:13:17,False
427,217,26,0,2016-08-17 19:20:38,False
428,2,126,0,2016-11-11 11:54:17,False
429,163,76,0,2016-07-15 16:47:07,False
430,15,15,0,2016-08-10 15:55:19,False
431,19,76,0,2016-07-15 17:29:18,False
432,88,237,0,2017-12-04 08:29:20,False
433,16,55,0,2016-12-13 19:39:04,False
434,218,40,0,2016-11-21 02:40:07,False
435,32,117,0,2016-11-02 07:51:15,False
436,2,30,0,2016-11-04 12:16:16,False
437,161,238,0,2017-07-21 06:24:55,False
438,32,117,0,2016-11-02 08:02:09,False
439,52,10,0,2016-12-11 03:30:38,False
440,16,57,0,2016-12-11 14:05:14,False
441,215,10,0,2016-12-04 14:59:55,False
442,12,41,3,2016-06-26 05:19:58,False
443,219,239,3,2017-07-21 04:57:39,False
444,33,107,3,2016-04-23 19:38:40,False
445,220,240,3,2016-06-20 13:09:22,False
446,221,241,3,2016-07-13 21:34:10,False
447,222,242,3,2017-07-21 04:54:01,False
448,223,243,3,2017-07-21 06:36:12,False
449,127,244,3,2018-10-23 16:36:14,False
450,146,166,3,2016-06-27 16:21:33,False
451,119,106,3,2016-07-23 21:58:49,False
452,7,245,3,2017-07-21 03:11:14,False
453,18,246,3,2017-07-21 04:22:56,False
454,224,247,3,2017-11-10 23:41:21,False
455,225,116,3,2018-08-06 09:05:18,False
456,12,248,3,2016-06-13 16:41:42,False
457,194,79,3,2016-12-30 13:35:59,False
458,226,249,3,2017-11-16 08:34:07,False
459,227,116,3,2017-10-07 11:01:05,False
460,12,41,3,2016-06-26 05:15:57,False
461,227,0,3,2017-10-07 10:59:39,False
462,18,240,3,2016-07-14 19:59:48,False
463,228,250,3,2016-02-27 11:15:34,False
464,29,88,3,2016-11-29 17:08:15,False
465,125,251,3,2017-07-21 07:44:27,False
466,151,116,3,2018-01-28 15:23:11,False
467,127,252,3,2018-10-17 22:46:06,False
468,229,253,3,2017-07-21 05:29:55,False
469,230,254,3,2017-10-30 11:56:15,False
470,231,241,3,2016-07-14 08:15:19,False
471,232,52,3,2016-09-11 10:13:53,False
472,12,255,3,2017-07-21 03:58:01,False
473,12,41,3,2016-06-26 05:18:41,False
474,73,256,3,2017-07-21 05:10:53,False
475,146,51,3,2016-06-15 19:15:51,False
476,18,240,3,2016-07-14 19:59:28,False
477,193,257,3,2018-10-31 11:20:33,False
478,233,258,3,2017-07-21 05:13:55,False
479,25,259,2,2016-08-24 12:28:32,False
480,81,107,2,2016-04-23 21:12:23,False
481,234,260,2,2017-07-21 05:06:40,False
482,112,261,2,2017-07-21 05:41:58,False
483,235,262,2,2017-07-21 04:22:59,False
484,37,263,2,2017-12-04 07:39:19,False
485,231,241,2,2016-07-12 19:09:33,False
486,213,92,2,2017-01-06 14:49:41,False
487,29,92,2,2017-01-03 16:40:54,False
488,236,264,2,2017-08-14 01:46:19,False
489,237,265,2,2017-07-21 05:46:18,False
490,238,211,2,2017-01-24 14:43:04,False
491,34,266,2,2016-04-11 02:56:46,False
492,239,267,2,2017-07-21 06:30:56,False
493,240,88,2,2016-11-28 11:48:22,False
494,241,268,2,2018-10-31 09:12:30,False
495,52,88,2,2016-11-28 09:38:24,False
496,242,163,2,2016-07-12 14:25:44,False
497,99,55,2,2016-12-14 09:49:05,False
498,242,163,2,2016-07-12 14:24:44,False
499,15,269,2,2017-07-21 05:30:20,False
500,243,270,2,2018-01-01 16:28:07,False
501,81,271,2,2017-07-21 03:18:59,False
502,244,272,2,2017-07-21 07:18:56,False
503,26,141,2,2017-07-19 16:09:25,False
504,162,273,2,2016-08-15 23:57:31,False
505,245,57,2,2016-12-02 12:54:32,False
506,246,274,2,2017-07-21 04:22:27,False
507,81,275,2,2017-07-21 03:26:19,False
508,174,250,2,2016-03-25 14:49:08,False
509,101,276,2,2017-09-13 17:46:23,False
510,247,277,2,2017-07-21 04:20:00,False
511,248,126,2,2016-11-10 23:49:59,False
